BHG_inside_bowl
-------
Flying height = 20 m
Mission time = 5 min

WAYPOINTS [WGS84]:
    LON         LAT       SPEED
-82.348390  29.649428    10 m/s
-82.348195  29.649521    10 m/s
-82.348712  29.649520    10 m/s
-82.348196  29.649972    10 m/s
-82.348712  29.649972    10 m/s
-82.348195  29.649521    10 m/s
-82.348712  29.649972    10 m/s
-82.348196  29.649972    10 m/s
-82.348712  29.649520    10 m/s
-82.348195  29.649521    10 m/s
-82.348216  29.649502     3 m/s
-82.348216  29.650333     3 m/s
-82.348423  29.650332     3 m/s
-82.348422  29.649502     3 m/s
-82.348629  29.649502     3 m/s
-82.348629  29.650332     3 m/s
-82.348836  29.650332     3 m/s
-82.348836  29.649502     3 m/s
-82.349042  29.649502     3 m/s
-82.349043  29.650332     3 m/s
-82.348390  29.649428    10 m/s
