BHG_outside_bowl_revised
-------
Flying height = 65 m
Mission time = 10 min

WAYPOINTS [WGS84]:
    LON         LAT       SPEED
-82.348390  29.649428    10 m/s
-82.347490  29.651621    10 m/s
-82.348006  29.651621    10 m/s
-82.347490  29.651170    10 m/s
-82.348006  29.651170    10 m/s
-82.347490  29.651621    10 m/s
-82.348006  29.651170    10 m/s
-82.347490  29.651170    10 m/s
-82.348006  29.651621    10 m/s
-82.347490  29.651621    10 m/s
-82.347510  29.651603     5 m/s
-82.347509  29.648625     5 m/s
-82.348026  29.648625     5 m/s
-82.348027  29.651603     5 m/s
-82.348543  29.651603     5 m/s
-82.348542  29.648625     5 m/s
-82.349059  29.648625     5 m/s
-82.349060  29.651603     5 m/s
-82.349576  29.651603     5 m/s
-82.349575  29.648625     5 m/s
-82.350092  29.648625     5 m/s
-82.350093  29.651602     5 m/s
-82.348390  29.649428    10 m/s
